Thread  	Address                 	Instruction                     	Result                                  	
0000DEAD	ROM:sub_CF3A+6A         	BEQ.W           loc_D158        	                                        	
0000DEAD	ROM:sub_CF3A+6E         	LDR.W           R1, =0x40030000 	R1=40030000                             	
0000DEAD	ROM:sub_CF3A+72         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+74         	BEQ.W           loc_D172        	                                        	
0000DEAD	ROM:sub_CF3A+78         	LDR.W           R1, =0x40038000 	R1=40038000                             	
0000DEAD	ROM:sub_CF3A+7C         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+7E         	BEQ.W           loc_D18C        	                                        	
0000DEAD	ROM:sub_CF3A+82         	LDR.W           R1, =0x4003C000 	R1=4003C000                             	
0000DEAD	ROM:sub_CF3A+86         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+88         	BEQ.W           loc_D190        	                                        	
0000DEAD	ROM:sub_CF3A+8C         	LDR.W           R1, =0x40040000 	R1=40040000                             	
0000DEAD	ROM:sub_CF3A+90         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+92         	BEQ.W           loc_D194        	                                        	
0000DEAD	ROM:sub_CF3A+96         	LDR.W           R1, =0x40060000 	R1=40060000                             	
0000DEAD	ROM:sub_CF3A+9A         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+9C         	BEQ.W           loc_D198        	                                        	
0000DEAD	ROM:sub_CF3A+A0         	LDR.W           R1, =0x40064000 	R1=40064000                             	
0000DEAD	ROM:sub_CF3A+A4         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+A6         	BEQ.W           loc_D19C        	                                        	
0000DEAD	ROM:sub_CF3A+AA         	LDR.W           R1, =0x40068000 	R1=40068000                             	
0000DEAD	ROM:sub_CF3A+AE         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+B0         	BEQ.W           loc_D1A0        	                                        	
0000DEAD	ROM:sub_CF3A+B4         	LDR.W           R1, =0x4006C000 	R1=4006C000                             	
0000DEAD	ROM:sub_CF3A+B8         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+BA         	BEQ.W           loc_D1A4        	                                        	
0000DEAD	ROM:sub_CF3A+BE         	LDR.W           R1, =0x40070000 	R1=40070000                             	
0000DEAD	ROM:sub_CF3A+C2         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+C4         	BEQ.W           loc_D1A8        	                                        	
0000DEAD	ROM:sub_CF3A+C8         	LDR.W           R1, =0x40078000 	R1=40078000                             	
0000DEAD	ROM:sub_CF3A+CC         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+CE         	BEQ.W           loc_D1AC        	                                        	
0000DEAD	ROM:sub_CF3A+D2         	LDR.W           R1, =0x4007C000 	R1=4007C000                             	
0000DEAD	ROM:sub_CF3A+D6         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+D8         	BEQ.W           loc_D1B0        	                                        	
0000DEAD	ROM:sub_CF3A+DC         	LDR.W           R1, =0x40080000 	R1=40080000                             	
0000DEAD	ROM:sub_CF3A+E0         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+E2         	BEQ.W           loc_D1B4        	                                        	
0000DEAD	ROM:sub_CF3A+E6         	LDR.W           R1, =0x400A0000 	R1=400A0000                             	
0000DEAD	ROM:sub_CF3A+EA         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+EC         	BEQ.W           loc_D218        	                                        	
0000DEAD	ROM:sub_CF3A+F0         	LDR.W           R1, =0x400A0400 	R1=400A0400                             	
0000DEAD	ROM:sub_CF3A+F4         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+F6         	BEQ.W           loc_D228        	                                        	
0000DEAD	ROM:sub_CF3A+FA         	LDR.W           R1, =0x400A1000 	R1=400A1000                             	
0000DEAD	ROM:sub_CF3A+FE         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+100        	BEQ.W           loc_D234        	                                        	
0000DEAD	ROM:sub_CF3A+104        	LDR.W           R1, =0x400A2000 	R1=400A2000                             	
0000DEAD	ROM:sub_CF3A+108        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+10A        	BEQ.W           loc_D238        	                                        	
0000DEAD	ROM:sub_CF3A+10E        	LDR.W           R1, =0x400A4000 	R1=400A4000                             	
0000DEAD	ROM:sub_CF3A+112        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+114        	BEQ.W           loc_D244        	                                        	
0000DEAD	ROM:sub_CF3A+118        	LDR.W           R1, =0x400A5000 	R1=400A5000                             	
0000DEAD	ROM:sub_CF3A+11C        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+11E        	BEQ.W           loc_D250        	                                        	
0000DEAD	ROM:sub_CF3A+122        	LDR.W           R1, =0x400A6000 	R1=400A6000                             	
0000DEAD	ROM:sub_CF3A+126        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+128        	BEQ.W           loc_D25C        	                                        	
0000DEAD	ROM:sub_CF3A+12C        	LDR.W           R1, =0x400B0000 	R1=400B0000                             	
0000DEAD	ROM:sub_CF3A+130        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+132        	BEQ             loc_D0DE        	                                        	
0000DEAD	ROM:sub_CF3A+134        	LDR.W           R1, =unk_400E0000	R1=400E0000                             	
0000DEAD	ROM:sub_CF3A+138        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+13A        	BEQ.W           loc_D260        	                                        	
0000DEAD	ROM:sub_CF3A+13E        	LDR.W           R1, =0x400E0400 	R1=400E0400                             	
0000DEAD	ROM:sub_CF3A+142        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+144        	BEQ.W           loc_D266        	                                        	
0000DEAD	ROM:sub_CF3A+148        	LDR.W           R1, =0x400E0800 	R1=400E0800                             	
0000DEAD	ROM:sub_CF3A+14C        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+14E        	BEQ.W           loc_D26C        	                                        	
0000DEAD	ROM:sub_CF3A+152        	LDR.W           R1, =0x400E0C00 	R1=400E0C00                             	
0000DEAD	ROM:sub_CF3A+156        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+158        	BEQ.W           loc_D272        	                                        	
0000DEAD	ROM:sub_CF3A+15C        	LDR.W           R1, =0x400E1000 	R1=400E1000                             	
0000DEAD	ROM:sub_CF3A+160        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+162        	BEQ.W           loc_D278        	                                        	
0000DEAD	ROM:sub_CF3A+166        	LDR.W           R1, =0x400F0000 	R1=400F0000                             	
0000DEAD	ROM:sub_CF3A+16A        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+16C        	BEQ.W           loc_D27E        	                                        	
0000DEAD	ROM:sub_CF3A+170        	LDR.W           R1, =0x400F0400 	R1=400F0400                             	
0000DEAD	ROM:sub_CF3A+174        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+176        	BEQ.W           loc_D284        	                                        	
0000DEAD	ROM:sub_CF3A+17A        	LDR.W           R1, =0x400F0800 	R1=400F0800                             	
0000DEAD	ROM:sub_CF3A+17E        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_CF3A+180        	BEQ.W           loc_D28A        	                                        	
0000DEAD	ROM:sub_CF3A+184        	LDR.W           R1, =0x400F0C00 	R1=400F0C00                             	
0000DEAD	ROM:sub_CF3A+188        	CMP             R0, R1          	Z=1                                     	
0000DEAD	ROM:sub_CF3A+18A        	BEQ.W           loc_D290        	                                        	
0000DEAD	ROM:sub_CF3A:loc_D290   	MOVS            R1, #3          	R1=00000003 Z=0                         	
0000DEAD	ROM:sub_CF3A+358        	MOVS            R0, #5          	R0=00000005                             	
0000DEAD	ROM:sub_CF3A+35A        	B               loc_D0E2        	                                        	
0000DEAD	ROM:sub_CF3A:loc_D0E2   	POP.W           {R4-R6,LR}      	SP=20001368 MSP=20001368                	
0000DEAD	ROM:sub_CF3A+1AC        	B               sub_CCE4        	                                        	
0000DEAD	ROM:sub_CCE4            	PUSH            {R4-R7}         	SP=20001358 MSP=20001358                	
0000DEAD	ROM:sub_CCE4+2          	MRS.W           R2, PRIMASK     	R2=00000000                             	
0000DEAD	ROM:sub_CCE4+6          	SUBS            R2, R2, #1      	R2=FFFFFFFF C=0 N=1                     	
0000DEAD	ROM:sub_CCE4+8          	SBCS            R2, R2          	                                        	
0000DEAD	ROM:sub_CCE4+A          	LSRS            R2, R2, #0x1F   	R2=00000001 C=1 N=0                     	
0000DEAD	ROM:sub_CCE4+C          	CPSID           I               	PRIMASK=00000001                        	
0000DEAD	ROM:sub_CCE4+E          	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_CCE4+12         	LDR.W           R3, =unk_200003A5	R3=200003A5                             	
0000DEAD	ROM:sub_CCE4+16         	LDR.W           R7, =unk_400E0058	R7=400E0058                             	
0000DEAD	ROM:sub_CCE4+1A         	MOVS            R4, #0          	R4=00000000 Z=1                         	
0000DEAD	ROM:sub_CCE4+1C         	STRB            R4, [R3]        	                                        	
0000DEAD	ROM:sub_CCE4+1E         	LSLS            R6, R0, #2      	R6=00000014 C=0 Z=0                     	
0000DEAD	ROM:sub_CCE4+20         	LDR.W           R4, =0x400E0020 	R4=400E0020                             	
0000DEAD	ROM:sub_CCE4+24         	LDR.W           R5, [R4,R0,LSL#2]	R5=0000003F                             	
0000DEAD	ROM:sub_CCE4+28         	ADDS            R6, #0x20 ; ' ' 	R6=00000034                             	
0000DEAD	ROM:sub_CCE4+2A         	LSLS            R6, R6, #0x16   	R6=0D000000                             	
0000DEAD	ROM:sub_CCE4+2C         	LSRS            R6, R6, #0x16   	R6=00000034                             	
0000DEAD	ROM:sub_CCE4+2E         	ORR.W           R6, R6, #0xAA000000	R6=AA000034                             	
0000DEAD	ROM:sub_CCE4+32         	STR             R6, [R7]        	                                        	
0000DEAD	ROM:sub_CCE4+34         	MOVS            R6, #1          	R6=00000001                             	
0000DEAD	ROM:sub_CCE4+36         	LSL.W           R1, R6, R1      	R1=00000008                             	
0000DEAD	ROM:sub_CCE4+3A         	ORRS            R1, R5          	R1=0000003F                             	
0000DEAD	ROM:sub_CCE4+3C         	STR.W           R1, [R4,R0,LSL#2]	                                        	
0000DEAD	ROM:sub_CCE4+40         	CBZ             R2, loc_CD2E    	                                        	
0000DEAD	ROM:sub_CCE4+42         	STRB            R6, [R3]        	                                        	
0000DEAD	ROM:sub_CCE4+44         	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_CCE4+48         	CPSIE           I               	PRIMASK=00000000                        	
0000DEAD	ROM:sub_CCE4:loc_CD2E   	POP             {R4-R7}         	R4=400F0C00 R5=20000D78 R6=00000000 R7=00000000 SP=20001368 MSP=20001368	
0000DEAD	ROM:sub_CCE4+4C         	BX              LR              	                                        	
0000DEAD	ROM:sub_F996+12         	LDR             R0, [R4]        	R0=00010080                             	
0000DEAD	ROM:sub_F996+14         	LSLS            R0, R0, #0x1C   	R0=00000000 Z=1                         	
0000DEAD	ROM:sub_F996+16         	IT MI                           	IT[3:2]=2 IT[7:4]=4                     	
0000DEAD	ROM:sub_F996+18         	MOVMI           R0, #0          	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_F996+1A         	BMI.W           loc_FABC        	                                        	
0000DEAD	ROM:sub_F996+1E         	LDR             R0, [R4]        	R0=00010080                             	
0000DEAD	ROM:sub_F996+20         	LSLS            R0, R0, #0x1F   	R0=00000000                             	
0000DEAD	ROM:sub_F996+22         	BPL             loc_F9F0        	                                        	
0000DEAD	ROM:sub_F996:loc_F9F0   	LDR             R0, [R4]        	R0=00010080                             	
0000DEAD	ROM:sub_F996+5C         	LSLS            R0, R0, #0xF    	R0=80400000 Z=0 N=1                     	
0000DEAD	ROM:sub_F996+5E         	BPL             loc_FA2C        	                                        	
0000DEAD	ROM:sub_F996+60         	LDR             R0, [R4]        	R0=00010080                             	
0000DEAD	ROM:sub_F996+62         	BIC.W           R1, R0, #0x10000	R1=00000080                             	
0000DEAD	ROM:sub_F996+66         	LDR             R0, =unk_400F0C00	R0=400F0C00                             	
0000DEAD	ROM:sub_F996+68         	LDR             R2, [R0]        	R2=00010080                             	
0000DEAD	ROM:sub_F996+6A         	LSLS            R2, R2, #0xE    	R2=40200000 N=0                         	
0000DEAD	ROM:sub_F996+6C         	ITE PL                          	IT[3:2]=1 IT[7:4]=5                     	
0000DEAD	ROM:sub_F996+6E         	MOVPL           R2, #0x46 ; 'F' 	R2=00000046 IT[3:2]=2 IT[7:4]=4         	
0000DEAD	ROM:sub_F996+70         	MOVMI           R2, #0xF5       	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_F996+72         	STR             R2, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996+74         	LDR             R2, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996+76         	LSRS            R2, R2, #3      	R2=00000008 C=1                         	
0000DEAD	ROM:sub_F996+78         	STR             R2, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996:loc_FA10   	LDR             R2, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996+7C         	SUBS            R3, R2, #1      	R3=00000007                             	
0000DEAD	ROM:sub_F996+7E         	STR             R3, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996+80         	CMP             R2, #0          	                                        	
0000DEAD	ROM:sub_F996+82         	BNE             loc_FA10        	R2=00000000 R3=FFFFFFFF Z=1             	
0000DEAD	ROM:sub_F996+84         	ORR.W           R2, R1, #0x55000000	R2=55000080                             	
0000DEAD	ROM:sub_F996+88         	STR             R2, [R0]        	                                        	
0000DEAD	ROM:sub_F996+8A         	ORR.W           R1, R1, #0xAA000000	R1=AA000080                             	
0000DEAD	ROM:sub_F996+8E         	STR             R1, [R0]        	                                        	
0000DEAD	ROM:sub_F996:loc_FA26   	LDR             R0, [R4]        	R0=00000080                             	
0000DEAD	ROM:sub_F996+92         	LSLS            R0, R0, #0xF    	R0=00400000 C=0 Z=0                     	
0000DEAD	ROM:sub_F996+94         	BMI             loc_FA26        	                                        	
0000DEAD	ROM:sub_F996:loc_FA2C   	LDRB            R0, [R5,#0xA]   	R0=00000001                             	
0000DEAD	ROM:sub_F996+98         	CBZ             R0, loc_FA32    	                                        	
0000DEAD	ROM:sub_F996+9A         	MOVS            R0, #0x80       	R0=00000080                             	
0000DEAD	ROM:sub_F996:loc_FA32   	LDRB            R1, [R5,#0xB]   	R1=00000001                             	
0000DEAD	ROM:sub_F996+9E         	CBZ             R1, loc_FA38    	                                        	
0000DEAD	ROM:sub_F996+A0         	MOVS            R1, #2          	R1=00000002                             	
0000DEAD	ROM:sub_F996:loc_FA38   	LDR             R2, [R5]        	R2=00000000                             	
0000DEAD	ROM:sub_F996+A4         	LDR             R3, [R5,#4]     	R3=00000000                             	
0000DEAD	ROM:sub_F996+A6         	ORRS            R2, R3          	Z=1                                     	
0000DEAD	ROM:sub_F996+A8         	LDRB            R3, [R5,#8]     	R3=00000010                             	
0000DEAD	ROM:sub_F996+AA         	LSLS            R3, R3, #8      	R3=00001000 Z=0                         	
0000DEAD	ROM:sub_F996+AC         	AND.W           R3, R3, #0x1F00 	                                        	
0000DEAD	ROM:sub_F996+B0         	ORRS            R2, R3          	R2=00001000                             	
0000DEAD	ROM:sub_F996+B2         	LDRB            R3, [R5,#9]     	R3=00000000                             	
0000DEAD	ROM:sub_F996+B4         	LSLS            R3, R3, #0x12   	Z=1                                     	
0000DEAD	ROM:sub_F996+B6         	AND.W           R3, R3, #0x7C0000	                                        	
0000DEAD	ROM:sub_F996+BA         	ORRS            R2, R3          	Z=0                                     	
0000DEAD	ROM:sub_F996+BC         	ORRS            R0, R2          	R0=00001080                             	
0000DEAD	ROM:sub_F996+BE         	ORRS            R1, R0          	R1=00001082                             	
0000DEAD	ROM:sub_F996+C0         	LDR             R0, =unk_400F0C00	R0=400F0C00                             	
0000DEAD	ROM:sub_F996+C2         	LDR             R2, [R0]        	R2=00000080                             	
0000DEAD	ROM:sub_F996+C4         	LSLS            R2, R2, #0xE    	R2=00200000                             	
0000DEAD	ROM:sub_F996+C6         	ITE PL                          	IT[3:2]=1 IT[7:4]=5                     	
0000DEAD	ROM:sub_F996+C8         	MOVPL           R2, #0x46 ; 'F' 	R2=00000046 IT[3:2]=2 IT[7:4]=4         	
0000DEAD	ROM:sub_F996+CA         	MOVMI           R2, #0xF5       	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_F996+CC         	STR             R2, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996+CE         	LDR             R2, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996+D0         	LSRS            R2, R2, #3      	R2=00000008 C=1                         	
0000DEAD	ROM:sub_F996+D2         	STR             R2, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996:loc_FA6A   	LDR             R2, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996+D6         	SUBS            R3, R2, #1      	R3=00000007                             	
0000DEAD	ROM:sub_F996+D8         	STR             R3, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996+DA         	CMP             R2, #0          	                                        	
0000DEAD	ROM:sub_F996+DC         	BNE             loc_FA6A        	R2=00000000 R3=FFFFFFFF Z=1             	
0000DEAD	ROM:sub_F996+DE         	ORR.W           R2, R1, #0x55000000	R2=55001082                             	
0000DEAD	ROM:sub_F996+E2         	STR             R2, [R0]        	                                        	
0000DEAD	ROM:sub_F996+E4         	ORR.W           R1, R1, #0xAA000000	R1=AA001082                             	
0000DEAD	ROM:sub_F996+E8         	STR             R1, [R0]        	                                        	
0000DEAD	ROM:sub_F996+EA         	LDR             R1, [R4]        	R1=00001082                             	
0000DEAD	ROM:sub_F996+EC         	LDR             R2, [R0]        	R2=00001082                             	
0000DEAD	ROM:sub_F996+EE         	ORR.W           R1, R1, #0x10000	R1=00011082                             	
0000DEAD	ROM:sub_F996+F2         	LSLS            R2, R2, #0xE    	R2=04208000 C=0 Z=0                     	
0000DEAD	ROM:sub_F996+F4         	ITE PL                          	IT[3:2]=1 IT[7:4]=5                     	
0000DEAD	ROM:sub_F996+F6         	MOVPL           R2, #0x46 ; 'F' 	R2=00000046 IT[3:2]=2 IT[7:4]=4         	
0000DEAD	ROM:sub_F996+F8         	MOVMI           R2, #0xF5       	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_F996+FA         	STR             R2, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996+FC         	LDR             R2, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996+FE         	LSRS            R2, R2, #3      	R2=00000008 C=1                         	
0000DEAD	ROM:sub_F996+100        	STR             R2, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996:loc_FA98   	LDR             R2, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996+104        	SUBS            R3, R2, #1      	R3=00000007                             	
0000DEAD	ROM:sub_F996+106        	STR             R3, [SP,#0x10+var_10]	                                        	
0000DEAD	ROM:sub_F996+108        	CMP             R2, #0          	                                        	
0000DEAD	ROM:sub_F996+10A        	BNE             loc_FA98        	R2=00000000 R3=FFFFFFFF Z=1             	
0000DEAD	ROM:sub_F996+10C        	ORR.W           R2, R1, #0x55000000	R2=55011082                             	
0000DEAD	ROM:sub_F996+110        	STR             R2, [R0]        	                                        	
0000DEAD	ROM:sub_F996+112        	ORR.W           R1, R1, #0xAA000000	R1=AA011082                             	
0000DEAD	ROM:sub_F996+116        	STR             R1, [R0]        	                                        	
0000DEAD	ROM:sub_F996:loc_FAAE   	LDR             R0, [R4]        	R0=00011082                             	
0000DEAD	ROM:sub_F996+11A        	LSLS            R0, R0, #0xF    	R0=88410000 C=0 Z=0 N=1                 	
0000DEAD	ROM:sub_F996+11C        	BPL             loc_FAAE        	                                        	
0000DEAD	ROM:sub_F996+11E        	MOV             R0, R4          	R0=400F0C00                             	
0000DEAD	ROM:sub_F996+120        	BL              sub_D2B4        	LR=0000FABB                             	
0000DEAD	ROM:sub_D2B4            	PUSH            {LR}            	SP=20001364 MSP=20001364                	
0000DEAD	ROM:sub_D2B4+2          	SUB             SP, SP, #4      	SP=20001360 MSP=20001360                	
0000DEAD	ROM:sub_D2B4+4          	CMP.W           R0, #0x40004000 	C=1 N=0                                 	
0000DEAD	ROM:sub_D2B4+8          	BEQ.W           loc_D47E        	                                        	
0000DEAD	ROM:sub_D2B4+C          	LDR.W           R1, =0x40008000 	R1=40008000                             	
0000DEAD	ROM:sub_D2B4+10         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+12         	BEQ.W           loc_D486        	                                        	
0000DEAD	ROM:sub_D2B4+16         	LDR.W           R1, =0x40010000 	R1=40010000                             	
0000DEAD	ROM:sub_D2B4+1A         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+1C         	BEQ.W           loc_D48A        	                                        	
0000DEAD	ROM:sub_D2B4+20         	LDR.W           R1, =0x40014000 	R1=40014000                             	
0000DEAD	ROM:sub_D2B4+24         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+26         	BEQ.W           loc_D48E        	                                        	
0000DEAD	ROM:sub_D2B4+2A         	LDR.W           R1, =0x40018000 	R1=40018000                             	
0000DEAD	ROM:sub_D2B4+2E         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+30         	BEQ.W           loc_D492        	                                        	
0000DEAD	ROM:sub_D2B4+34         	LDR.W           R1, =0x40018400 	R1=40018400                             	
0000DEAD	ROM:sub_D2B4+38         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+3A         	BEQ.W           loc_D496        	                                        	
0000DEAD	ROM:sub_D2B4+3E         	LDR.W           R1, =0x4001C000 	R1=4001C000                             	
0000DEAD	ROM:sub_D2B4+42         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+44         	BEQ.W           loc_D49A        	                                        	
0000DEAD	ROM:sub_D2B4+48         	LDR.W           R1, =0x4001C400 	R1=4001C400                             	
0000DEAD	ROM:sub_D2B4+4C         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+4E         	BEQ.W           loc_D49E        	                                        	
0000DEAD	ROM:sub_D2B4+52         	LDR.W           R1, =0x40024000 	R1=40024000                             	
0000DEAD	ROM:sub_D2B4+56         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+58         	BEQ.W           loc_D4A2        	                                        	
0000DEAD	ROM:sub_D2B4+5C         	LDR.W           R1, =0x40028000 	R1=40028000                             	
0000DEAD	ROM:sub_D2B4+60         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+62         	BEQ.W           loc_D4A6        	                                        	
0000DEAD	ROM:sub_D2B4+66         	LDR.W           R1, =0x4002C000 	R1=4002C000                             	
0000DEAD	ROM:sub_D2B4+6A         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+6C         	BEQ.W           loc_D4AA        	                                        	
0000DEAD	ROM:sub_D2B4+70         	LDR.W           R1, =0x40030000 	R1=40030000                             	
0000DEAD	ROM:sub_D2B4+74         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+76         	BEQ.W           loc_D4AE        	                                        	
0000DEAD	ROM:sub_D2B4+7A         	LDR.W           R1, =0x40038000 	R1=40038000                             	
0000DEAD	ROM:sub_D2B4+7E         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+80         	BEQ.W           loc_D4B2        	                                        	
0000DEAD	ROM:sub_D2B4+84         	LDR.W           R1, =0x4003C000 	R1=4003C000                             	
0000DEAD	ROM:sub_D2B4+88         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+8A         	BEQ.W           loc_D4B6        	                                        	
0000DEAD	ROM:sub_D2B4+8E         	LDR.W           R1, =0x40040000 	R1=40040000                             	
0000DEAD	ROM:sub_D2B4+92         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+94         	BEQ.W           loc_D4BA        	                                        	
0000DEAD	ROM:sub_D2B4+98         	LDR.W           R1, =0x40060000 	R1=40060000                             	
0000DEAD	ROM:sub_D2B4+9C         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+9E         	BEQ.W           loc_D4BE        	                                        	
0000DEAD	ROM:sub_D2B4+A2         	LDR.W           R1, =0x40064000 	R1=40064000                             	
0000DEAD	ROM:sub_D2B4+A6         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+A8         	BEQ.W           loc_D4C2        	                                        	
0000DEAD	ROM:sub_D2B4+AC         	LDR.W           R1, =0x40068000 	R1=40068000                             	
0000DEAD	ROM:sub_D2B4+B0         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+B2         	BEQ.W           loc_D4C6        	                                        	
0000DEAD	ROM:sub_D2B4+B6         	LDR.W           R1, =0x4006C000 	R1=4006C000                             	
0000DEAD	ROM:sub_D2B4+BA         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+BC         	BEQ.W           loc_D4CA        	                                        	
0000DEAD	ROM:sub_D2B4+C0         	LDR.W           R1, =0x40070000 	R1=40070000                             	
0000DEAD	ROM:sub_D2B4+C4         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+C6         	BEQ.W           loc_D4CE        	                                        	
0000DEAD	ROM:sub_D2B4+CA         	LDR.W           R1, =0x40078000 	R1=40078000                             	
0000DEAD	ROM:sub_D2B4+CE         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+D0         	BEQ.W           loc_D4D2        	                                        	
0000DEAD	ROM:sub_D2B4+D4         	LDR.W           R1, =0x4007C000 	R1=4007C000                             	
0000DEAD	ROM:sub_D2B4+D8         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+DA         	BEQ.W           loc_D4D6        	                                        	
0000DEAD	ROM:sub_D2B4+DE         	LDR.W           R1, =0x40080000 	R1=40080000                             	
0000DEAD	ROM:sub_D2B4+E2         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+E4         	BEQ.W           loc_D4DA        	                                        	
0000DEAD	ROM:sub_D2B4+E8         	LDR.W           R1, =0x400A0000 	R1=400A0000                             	
0000DEAD	ROM:sub_D2B4+EC         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+EE         	BEQ.W           loc_D4DE        	                                        	
0000DEAD	ROM:sub_D2B4+F2         	LDR.W           R1, =0x400A0400 	R1=400A0400                             	
0000DEAD	ROM:sub_D2B4+F6         	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+F8         	BEQ.W           loc_D4E6        	                                        	
0000DEAD	ROM:sub_D2B4+FC         	LDR.W           R1, =0x400A1000 	R1=400A1000                             	
0000DEAD	ROM:sub_D2B4+100        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+102        	BEQ.W           loc_D4F2        	                                        	
0000DEAD	ROM:sub_D2B4+106        	LDR.W           R1, =0x400A2000 	R1=400A2000                             	
0000DEAD	ROM:sub_D2B4+10A        	CMP             R0, R1          	                                        	
0000DEAD	ROM:sub_D2B4+10C        	BEQ.W           loc_D4F6        	                                        	
0000DEAD	ROM:sub_D2B4+110        	LDR.W           R1, =0x400A4000 	R1=400A4000                             	
0000DEAD	ROM:sub_D2B4+114        	CMP             R0, R1          	                                        	
